"Datenbasis";"Wirtschaftszweig (WZ2008)";"Berichtsjahr";"Region";"Beschäftigtengrößenklassen";"Zählen";
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"12 Reinickendorf";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"12 Reinickendorf";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"51000 Brandenburg an der Havel, Stadt";"0  bis     9";1;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"51000 Brandenburg an der Havel, Stadt";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"51000 Brandenburg an der Havel, Stadt";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"51000 Brandenburg an der Havel, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"52000 Cottbus, Stadt";"0  bis     9";1;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"52000 Cottbus, Stadt";"10  bis   49";2;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"52000 Cottbus, Stadt";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"52000 Cottbus, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"53000 Frankfurt (Oder), Stadt";"0  bis     9";1;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"53000 Frankfurt (Oder), Stadt";"10  bis   49";1;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"53000 Frankfurt (Oder), Stadt";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"53000 Frankfurt (Oder), Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"54000 Potsdam, Stadt";"0  bis     9";5;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"54000 Potsdam, Stadt";"10  bis   49";2;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"54000 Potsdam, Stadt";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"54000 Potsdam, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60005 Ahrensfelde";"0  bis     9";1;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60005 Ahrensfelde";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60005 Ahrensfelde";"50  bis 249";2;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60005 Ahrensfelde";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60012 Althüttendorf";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60012 Althüttendorf";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60012 Althüttendorf";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60012 Althüttendorf";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60020 Bernau bei Berlin, Stadt";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60020 Bernau bei Berlin, Stadt";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60020 Bernau bei Berlin, Stadt";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60020 Bernau bei Berlin, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60024 Biesenthal, Stadt";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60024 Biesenthal, Stadt";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60024 Biesenthal, Stadt";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60024 Biesenthal, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60034 Breydin";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60034 Breydin";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60034 Breydin";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60034 Breydin";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60036 Britz";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60036 Britz";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60036 Britz";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60036 Britz";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60045 Chorin";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60045 Chorin";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60045 Chorin";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60045 Chorin";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60052 Eberswalde, Stadt";"0  bis     9";3;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60052 Eberswalde, Stadt";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60052 Eberswalde, Stadt";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60052 Eberswalde, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60068 Friedrichswalde";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60068 Friedrichswalde";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60068 Friedrichswalde";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60068 Friedrichswalde";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60092 Hohenfinow";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60092 Hohenfinow";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60092 Hohenfinow";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60092 Hohenfinow";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60100 Joachimsthal, Stadt";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60100 Joachimsthal, Stadt";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60100 Joachimsthal, Stadt";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60100 Joachimsthal, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60128 Liepe";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60128 Liepe";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60128 Liepe";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60128 Liepe";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60149 Lunow-Stolzenhagen";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60149 Lunow-Stolzenhagen";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60149 Lunow-Stolzenhagen";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60149 Lunow-Stolzenhagen";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60154 Marienwerder";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60154 Marienwerder";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60154 Marienwerder";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60154 Marienwerder";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60161 Melchow";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60161 Melchow";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60161 Melchow";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60161 Melchow";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60172 Niederfinow";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60172 Niederfinow";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60172 Niederfinow";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60172 Niederfinow";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60176 Oderberg, Stadt";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60176 Oderberg, Stadt";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60176 Oderberg, Stadt";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60176 Oderberg, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60181 Panketal";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60181 Panketal";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60181 Panketal";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60181 Panketal";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60185 Parsteinsee";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60185 Parsteinsee";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60185 Parsteinsee";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60185 Parsteinsee";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60192 Rüdnitz";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60192 Rüdnitz";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60192 Rüdnitz";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60192 Rüdnitz";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60198 Schorfheide";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60198 Schorfheide";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60198 Schorfheide";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60198 Schorfheide";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60250 Sydower Fließ";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60250 Sydower Fließ";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60250 Sydower Fließ";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60250 Sydower Fließ";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60269 Wandlitz";"0  bis     9";1;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60269 Wandlitz";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60269 Wandlitz";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60269 Wandlitz";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"60280 Werneuchen, Stadt";"0  bis     9";1;
