"Datenbasis";"Wirtschaftszweig (WZ2008)";"Berichtsjahr";"Region";"Beschäftigtengrößenklassen";"Zählen";
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73261 Grünow";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73261 Grünow";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73261 Grünow";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73261 Grünow";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73309 Hohenselchow-Groß Pinnow";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73309 Hohenselchow-Groß Pinnow";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73309 Hohenselchow-Groß Pinnow";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73309 Hohenselchow-Groß Pinnow";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73384 Lychen, Stadt";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73384 Lychen, Stadt";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73384 Lychen, Stadt";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73384 Lychen, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73386 Mark Landin";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73386 Mark Landin";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73386 Mark Landin";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73386 Mark Landin";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73393 Mescherin";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73393 Mescherin";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73393 Mescherin";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73393 Mescherin";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73396 Milmersdorf";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73396 Milmersdorf";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73396 Milmersdorf";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73396 Milmersdorf";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73404 Mittenwalde";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73404 Mittenwalde";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73404 Mittenwalde";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73404 Mittenwalde";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73429 Nordwestuckermark";"0  bis     9";1;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73429 Nordwestuckermark";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73429 Nordwestuckermark";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73429 Nordwestuckermark";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73430 Oberuckersee";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73430 Oberuckersee";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73430 Oberuckersee";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73430 Oberuckersee";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73440 Pinnow";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73440 Pinnow";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73440 Pinnow";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73440 Pinnow";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73452 Prenzlau, Stadt";"0  bis     9";2;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73452 Prenzlau, Stadt";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73452 Prenzlau, Stadt";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73452 Prenzlau, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73458 Randowtal";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73458 Randowtal";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73458 Randowtal";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73458 Randowtal";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73490 Schenkenberg";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73490 Schenkenberg";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73490 Schenkenberg";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73490 Schenkenberg";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73505 Schöneberg";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73505 Schöneberg";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73505 Schöneberg";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73505 Schöneberg";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73520 Schönfeld";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73520 Schönfeld";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73520 Schönfeld";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73520 Schönfeld";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73532 Schwedt/Oder, Stadt";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73532 Schwedt/Oder, Stadt";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73532 Schwedt/Oder, Stadt";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73532 Schwedt/Oder, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73565 Tantow";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73565 Tantow";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73565 Tantow";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73565 Tantow";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73569 Temmen-Ringenwalde";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73569 Temmen-Ringenwalde";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73569 Temmen-Ringenwalde";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73569 Temmen-Ringenwalde";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73572 Templin, Stadt";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73572 Templin, Stadt";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73572 Templin, Stadt";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73572 Templin, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73578 Uckerfelde";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73578 Uckerfelde";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73578 Uckerfelde";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73578 Uckerfelde";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73579 Uckerland";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73579 Uckerland";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73579 Uckerland";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73579 Uckerland";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73603 Passow";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73603 Passow";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73603 Passow";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73603 Passow";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73645 Zichow";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73645 Zichow";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73645 Zichow";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2007";"73645 Zichow";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"Berlin";"0  bis     9";21;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"Berlin";"10  bis   49";9;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"Berlin";"50  bis 249";1;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"Berlin";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"Brandenburg";"0  bis     9";60;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"Brandenburg";"10  bis   49";31;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"Brandenburg";"50  bis 249";7;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"Brandenburg";"250 und mehr";1;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"00 Berlin ohne Bezirkszuordnung";"0  bis     9";1;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"00 Berlin ohne Bezirkszuordnung";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"00 Berlin ohne Bezirkszuordnung";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"00 Berlin ohne Bezirkszuordnung";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"01 Mitte";"0  bis     9";4;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"01 Mitte";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"01 Mitte";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"01 Mitte";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"02 Friedrichshain-Kreuzberg";"0  bis     9";2;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"02 Friedrichshain-Kreuzberg";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"02 Friedrichshain-Kreuzberg";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"02 Friedrichshain-Kreuzberg";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"03 Pankow";"0  bis     9";1;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"03 Pankow";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"03 Pankow";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"03 Pankow";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"04 Charlottenburg-Wilmersdorf";"0  bis     9";1;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"04 Charlottenburg-Wilmersdorf";"10  bis   49";1;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"04 Charlottenburg-Wilmersdorf";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"04 Charlottenburg-Wilmersdorf";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"05 Spandau";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"05 Spandau";"10  bis   49";1;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"05 Spandau";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"05 Spandau";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"06 Steglitz-Zehlendorf";"0  bis     9";1;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"06 Steglitz-Zehlendorf";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"06 Steglitz-Zehlendorf";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"06 Steglitz-Zehlendorf";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"07 Tempelhof-Schöneberg";"0  bis     9";2;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"07 Tempelhof-Schöneberg";"10  bis   49";2;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"07 Tempelhof-Schöneberg";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"07 Tempelhof-Schöneberg";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"08 Neukölln";"0  bis     9";4;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"08 Neukölln";"10  bis   49";2;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"08 Neukölln";"50  bis 249";1;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"08 Neukölln";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"09 Treptow-Köpenick";"0  bis     9";2;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"09 Treptow-Köpenick";"10  bis   49";2;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"09 Treptow-Köpenick";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"09 Treptow-Köpenick";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"10 Marzahn-Hellersdorf";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"10 Marzahn-Hellersdorf";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"10 Marzahn-Hellersdorf";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"10 Marzahn-Hellersdorf";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"11 Lichtenberg";"0  bis     9";1;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"11 Lichtenberg";"10  bis   49";1;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"11 Lichtenberg";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"11 Lichtenberg";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"12 Reinickendorf";"0  bis     9";2;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"12 Reinickendorf";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"12 Reinickendorf";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"12 Reinickendorf";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"51000 Brandenburg an der Havel, Stadt";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"51000 Brandenburg an der Havel, Stadt";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"51000 Brandenburg an der Havel, Stadt";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"51000 Brandenburg an der Havel, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"52000 Cottbus, Stadt";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"52000 Cottbus, Stadt";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"52000 Cottbus, Stadt";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"52000 Cottbus, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"53000 Frankfurt (Oder), Stadt";"0  bis     9";2;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"53000 Frankfurt (Oder), Stadt";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"53000 Frankfurt (Oder), Stadt";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"53000 Frankfurt (Oder), Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"54000 Potsdam, Stadt";"0  bis     9";2;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"54000 Potsdam, Stadt";"10  bis   49";3;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"54000 Potsdam, Stadt";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"54000 Potsdam, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60005 Ahrensfelde";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60005 Ahrensfelde";"10  bis   49";1;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60005 Ahrensfelde";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60005 Ahrensfelde";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60012 Althüttendorf";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60012 Althüttendorf";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60012 Althüttendorf";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60012 Althüttendorf";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60020 Bernau bei Berlin, Stadt";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60020 Bernau bei Berlin, Stadt";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60020 Bernau bei Berlin, Stadt";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60020 Bernau bei Berlin, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60024 Biesenthal, Stadt";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60024 Biesenthal, Stadt";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60024 Biesenthal, Stadt";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60024 Biesenthal, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60034 Breydin";"0  bis     9";1;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60034 Breydin";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60034 Breydin";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60034 Breydin";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60036 Britz";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60036 Britz";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60036 Britz";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60036 Britz";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60045 Chorin";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60045 Chorin";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60045 Chorin";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60045 Chorin";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60052 Eberswalde, Stadt";"0  bis     9";3;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60052 Eberswalde, Stadt";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60052 Eberswalde, Stadt";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60052 Eberswalde, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60068 Friedrichswalde";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60068 Friedrichswalde";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60068 Friedrichswalde";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60068 Friedrichswalde";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60092 Hohenfinow";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60092 Hohenfinow";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60092 Hohenfinow";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60092 Hohenfinow";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60100 Joachimsthal, Stadt";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60100 Joachimsthal, Stadt";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60100 Joachimsthal, Stadt";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60100 Joachimsthal, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60128 Liepe";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60128 Liepe";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60128 Liepe";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60128 Liepe";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60149 Lunow-Stolzenhagen";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60149 Lunow-Stolzenhagen";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60149 Lunow-Stolzenhagen";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60149 Lunow-Stolzenhagen";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60154 Marienwerder";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60154 Marienwerder";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60154 Marienwerder";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60154 Marienwerder";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60161 Melchow";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60161 Melchow";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60161 Melchow";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60161 Melchow";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60172 Niederfinow";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60172 Niederfinow";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60172 Niederfinow";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60172 Niederfinow";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60176 Oderberg, Stadt";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60176 Oderberg, Stadt";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60176 Oderberg, Stadt";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60176 Oderberg, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60181 Panketal";"0  bis     9";1;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60181 Panketal";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60181 Panketal";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60181 Panketal";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60185 Parsteinsee";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60185 Parsteinsee";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60185 Parsteinsee";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60185 Parsteinsee";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60192 Rüdnitz";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60192 Rüdnitz";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60192 Rüdnitz";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60192 Rüdnitz";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60198 Schorfheide";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60198 Schorfheide";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60198 Schorfheide";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60198 Schorfheide";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60250 Sydower Fließ";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60250 Sydower Fließ";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60250 Sydower Fließ";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60250 Sydower Fließ";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60269 Wandlitz";"0  bis     9";1;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2008";"60269 Wandlitz";"10  bis   49";-;
