"Datenbasis";"Berichtsjahr";"Region";"Beschäftigtengrößenklassen";"Zählen";
"Anzahl  Niederlassungen";"2008";"61471 Steinreich";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"61471 Steinreich";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"61476 Straupitz";"0  bis     9";29;
"Anzahl  Niederlassungen";"2008";"61476 Straupitz";"10  bis   49";4;
"Anzahl  Niederlassungen";"2008";"61476 Straupitz";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"61476 Straupitz";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"61492 Teupitz, Stadt";"0  bis     9";111;
"Anzahl  Niederlassungen";"2008";"61492 Teupitz, Stadt";"10  bis   49";3;
"Anzahl  Niederlassungen";"2008";"61492 Teupitz, Stadt";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"61492 Teupitz, Stadt";"250 und mehr";1;
"Anzahl  Niederlassungen";"2008";"61510 Unterspreewald";"0  bis     9";49;
"Anzahl  Niederlassungen";"2008";"61510 Unterspreewald";"10  bis   49";3;
"Anzahl  Niederlassungen";"2008";"61510 Unterspreewald";"50  bis 249";1;
"Anzahl  Niederlassungen";"2008";"61510 Unterspreewald";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"61540 Wildau";"0  bis     9";444;
"Anzahl  Niederlassungen";"2008";"61540 Wildau";"10  bis   49";77;
"Anzahl  Niederlassungen";"2008";"61540 Wildau";"50  bis 249";16;
"Anzahl  Niederlassungen";"2008";"61540 Wildau";"250 und mehr";1;
"Anzahl  Niederlassungen";"2008";"61572 Zeuthen";"0  bis     9";464;
"Anzahl  Niederlassungen";"2008";"61572 Zeuthen";"10  bis   49";21;
"Anzahl  Niederlassungen";"2008";"61572 Zeuthen";"50  bis 249";4;
"Anzahl  Niederlassungen";"2008";"61572 Zeuthen";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"62024 Bad Liebenwerda, Stadt";"0  bis     9";460;
"Anzahl  Niederlassungen";"2008";"62024 Bad Liebenwerda, Stadt";"10  bis   49";42;
"Anzahl  Niederlassungen";"2008";"62024 Bad Liebenwerda, Stadt";"50  bis 249";6;
"Anzahl  Niederlassungen";"2008";"62024 Bad Liebenwerda, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"62088 Crinitz";"0  bis     9";73;
"Anzahl  Niederlassungen";"2008";"62088 Crinitz";"10  bis   49";4;
"Anzahl  Niederlassungen";"2008";"62088 Crinitz";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"62088 Crinitz";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"62092 Doberlug-Kirchhain, Stadt";"0  bis     9";337;
"Anzahl  Niederlassungen";"2008";"62092 Doberlug-Kirchhain, Stadt";"10  bis   49";28;
"Anzahl  Niederlassungen";"2008";"62092 Doberlug-Kirchhain, Stadt";"50  bis 249";4;
"Anzahl  Niederlassungen";"2008";"62092 Doberlug-Kirchhain, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"62124 Elsterwerda, Stadt";"0  bis     9";395;
"Anzahl  Niederlassungen";"2008";"62124 Elsterwerda, Stadt";"10  bis   49";62;
"Anzahl  Niederlassungen";"2008";"62124 Elsterwerda, Stadt";"50  bis 249";13;
"Anzahl  Niederlassungen";"2008";"62124 Elsterwerda, Stadt";"250 und mehr";1;
"Anzahl  Niederlassungen";"2008";"62128 Falkenberg/Elster, Stadt";"0  bis     9";222;
"Anzahl  Niederlassungen";"2008";"62128 Falkenberg/Elster, Stadt";"10  bis   49";26;
"Anzahl  Niederlassungen";"2008";"62128 Falkenberg/Elster, Stadt";"50  bis 249";5;
"Anzahl  Niederlassungen";"2008";"62128 Falkenberg/Elster, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"62134 Fichtwald";"0  bis     9";29;
"Anzahl  Niederlassungen";"2008";"62134 Fichtwald";"10  bis   49";2;
"Anzahl  Niederlassungen";"2008";"62134 Fichtwald";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"62134 Fichtwald";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"62140 Finsterwalde, Stadt";"0  bis     9";676;
"Anzahl  Niederlassungen";"2008";"62140 Finsterwalde, Stadt";"10  bis   49";69;
"Anzahl  Niederlassungen";"2008";"62140 Finsterwalde, Stadt";"50  bis 249";17;
"Anzahl  Niederlassungen";"2008";"62140 Finsterwalde, Stadt";"250 und mehr";1;
"Anzahl  Niederlassungen";"2008";"62177 Gorden-Staupitz";"0  bis     9";22;
"Anzahl  Niederlassungen";"2008";"62177 Gorden-Staupitz";"10  bis   49";1;
"Anzahl  Niederlassungen";"2008";"62177 Gorden-Staupitz";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"62177 Gorden-Staupitz";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"62196 Gröden";"0  bis     9";51;
"Anzahl  Niederlassungen";"2008";"62196 Gröden";"10  bis   49";2;
"Anzahl  Niederlassungen";"2008";"62196 Gröden";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"62196 Gröden";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"62208 Großthiemig";"0  bis     9";25;
"Anzahl  Niederlassungen";"2008";"62208 Großthiemig";"10  bis   49";3;
"Anzahl  Niederlassungen";"2008";"62208 Großthiemig";"50  bis 249";1;
"Anzahl  Niederlassungen";"2008";"62208 Großthiemig";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"62219 Heideland";"0  bis     9";13;
"Anzahl  Niederlassungen";"2008";"62219 Heideland";"10  bis   49";1;
"Anzahl  Niederlassungen";"2008";"62219 Heideland";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"62219 Heideland";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"62224 Herzberg (Elster), Stadt";"0  bis     9";443;
"Anzahl  Niederlassungen";"2008";"62224 Herzberg (Elster), Stadt";"10  bis   49";47;
"Anzahl  Niederlassungen";"2008";"62224 Herzberg (Elster), Stadt";"50  bis 249";15;
"Anzahl  Niederlassungen";"2008";"62224 Herzberg (Elster), Stadt";"250 und mehr";1;
"Anzahl  Niederlassungen";"2008";"62232 Hirschfeld";"0  bis     9";53;
"Anzahl  Niederlassungen";"2008";"62232 Hirschfeld";"10  bis   49";3;
"Anzahl  Niederlassungen";"2008";"62232 Hirschfeld";"50  bis 249";1;
"Anzahl  Niederlassungen";"2008";"62232 Hirschfeld";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"62237 Hohenbucko";"0  bis     9";28;
"Anzahl  Niederlassungen";"2008";"62237 Hohenbucko";"10  bis   49";1;
"Anzahl  Niederlassungen";"2008";"62237 Hohenbucko";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"62237 Hohenbucko";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"62240 Hohenleipisch";"0  bis     9";69;
"Anzahl  Niederlassungen";"2008";"62240 Hohenleipisch";"10  bis   49";4;
"Anzahl  Niederlassungen";"2008";"62240 Hohenleipisch";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"62240 Hohenleipisch";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"62282 Kremitzaue";"0  bis     9";19;
"Anzahl  Niederlassungen";"2008";"62282 Kremitzaue";"10  bis   49";1;
"Anzahl  Niederlassungen";"2008";"62282 Kremitzaue";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"62282 Kremitzaue";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"62289 Lebusa";"0  bis     9";31;
"Anzahl  Niederlassungen";"2008";"62289 Lebusa";"10  bis   49";2;
"Anzahl  Niederlassungen";"2008";"62289 Lebusa";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"62289 Lebusa";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"62293 Lichterfeld-Schacksdorf";"0  bis     9";38;
"Anzahl  Niederlassungen";"2008";"62293 Lichterfeld-Schacksdorf";"10  bis   49";4;
"Anzahl  Niederlassungen";"2008";"62293 Lichterfeld-Schacksdorf";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"62293 Lichterfeld-Schacksdorf";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"62333 Massen-Niederlausitz";"0  bis     9";141;
"Anzahl  Niederlassungen";"2008";"62333 Massen-Niederlausitz";"10  bis   49";15;
"Anzahl  Niederlassungen";"2008";"62333 Massen-Niederlausitz";"50  bis 249";6;
"Anzahl  Niederlassungen";"2008";"62333 Massen-Niederlausitz";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"62336 Merzdorf";"0  bis     9";16;
"Anzahl  Niederlassungen";"2008";"62336 Merzdorf";"10  bis   49";1;
"Anzahl  Niederlassungen";"2008";"62336 Merzdorf";"50  bis 249";1;
"Anzahl  Niederlassungen";"2008";"62336 Merzdorf";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"62341 Mühlberg/Elbe, Stadt";"0  bis     9";135;
"Anzahl  Niederlassungen";"2008";"62341 Mühlberg/Elbe, Stadt";"10  bis   49";5;
"Anzahl  Niederlassungen";"2008";"62341 Mühlberg/Elbe, Stadt";"50  bis 249";2;
"Anzahl  Niederlassungen";"2008";"62341 Mühlberg/Elbe, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"62372 Plessa";"0  bis     9";82;
"Anzahl  Niederlassungen";"2008";"62372 Plessa";"10  bis   49";5;
"Anzahl  Niederlassungen";"2008";"62372 Plessa";"50  bis 249";1;
"Anzahl  Niederlassungen";"2008";"62372 Plessa";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"62410 Röderland";"0  bis     9";129;
"Anzahl  Niederlassungen";"2008";"62410 Röderland";"10  bis   49";18;
"Anzahl  Niederlassungen";"2008";"62410 Röderland";"50  bis 249";1;
"Anzahl  Niederlassungen";"2008";"62410 Röderland";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"62417 Rückersdorf";"0  bis     9";44;
"Anzahl  Niederlassungen";"2008";"62417 Rückersdorf";"10  bis   49";4;
"Anzahl  Niederlassungen";"2008";"62417 Rückersdorf";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"62417 Rückersdorf";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"62425 Sallgast";"0  bis     9";41;
"Anzahl  Niederlassungen";"2008";"62425 Sallgast";"10  bis   49";4;
"Anzahl  Niederlassungen";"2008";"62425 Sallgast";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"62425 Sallgast";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"62440 Schilda";"0  bis     9";7;
"Anzahl  Niederlassungen";"2008";"62440 Schilda";"10  bis   49";-;
"Anzahl  Niederlassungen";"2008";"62440 Schilda";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"62440 Schilda";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"62445 Schlieben, Stadt";"0  bis     9";110;
"Anzahl  Niederlassungen";"2008";"62445 Schlieben, Stadt";"10  bis   49";5;
"Anzahl  Niederlassungen";"2008";"62445 Schlieben, Stadt";"50  bis 249";2;
"Anzahl  Niederlassungen";"2008";"62445 Schlieben, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"62453 Schönborn";"0  bis     9";50;
"Anzahl  Niederlassungen";"2008";"62453 Schönborn";"10  bis   49";5;
"Anzahl  Niederlassungen";"2008";"62453 Schönborn";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"62453 Schönborn";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"62461 Schönewalde, Stadt";"0  bis     9";127;
"Anzahl  Niederlassungen";"2008";"62461 Schönewalde, Stadt";"10  bis   49";8;
"Anzahl  Niederlassungen";"2008";"62461 Schönewalde, Stadt";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"62461 Schönewalde, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"62464 Schraden";"0  bis     9";13;
"Anzahl  Niederlassungen";"2008";"62464 Schraden";"10  bis   49";4;
"Anzahl  Niederlassungen";"2008";"62464 Schraden";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"62464 Schraden";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"62469 Sonnewalde, Stadt";"0  bis     9";135;
"Anzahl  Niederlassungen";"2008";"62469 Sonnewalde, Stadt";"10  bis   49";8;
"Anzahl  Niederlassungen";"2008";"62469 Sonnewalde, Stadt";"50  bis 249";2;
"Anzahl  Niederlassungen";"2008";"62469 Sonnewalde, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"62492 Tröbitz";"0  bis     9";27;
"Anzahl  Niederlassungen";"2008";"62492 Tröbitz";"10  bis   49";8;
"Anzahl  Niederlassungen";"2008";"62492 Tröbitz";"50  bis 249";1;
"Anzahl  Niederlassungen";"2008";"62492 Tröbitz";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"62500 Uebigau-Wahrenbrück, Stadt";"0  bis     9";161;
"Anzahl  Niederlassungen";"2008";"62500 Uebigau-Wahrenbrück, Stadt";"10  bis   49";8;
"Anzahl  Niederlassungen";"2008";"62500 Uebigau-Wahrenbrück, Stadt";"50  bis 249";5;
"Anzahl  Niederlassungen";"2008";"62500 Uebigau-Wahrenbrück, Stadt";"250 und mehr";1;
"Anzahl  Niederlassungen";"2008";"63036 Brieselang";"0  bis     9";358;
"Anzahl  Niederlassungen";"2008";"63036 Brieselang";"10  bis   49";30;
"Anzahl  Niederlassungen";"2008";"63036 Brieselang";"50  bis 249";5;
"Anzahl  Niederlassungen";"2008";"63036 Brieselang";"250 und mehr";2;
"Anzahl  Niederlassungen";"2008";"63056 Dallgow-Döberitz";"0  bis     9";341;
"Anzahl  Niederlassungen";"2008";"63056 Dallgow-Döberitz";"10  bis   49";31;
"Anzahl  Niederlassungen";"2008";"63056 Dallgow-Döberitz";"50  bis 249";4;
"Anzahl  Niederlassungen";"2008";"63056 Dallgow-Döberitz";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"63080 Falkensee, Stadt";"0  bis     9";1620;
"Anzahl  Niederlassungen";"2008";"63080 Falkensee, Stadt";"10  bis   49";97;
"Anzahl  Niederlassungen";"2008";"63080 Falkensee, Stadt";"50  bis 249";18;
"Anzahl  Niederlassungen";"2008";"63080 Falkensee, Stadt";"250 und mehr";2;
"Anzahl  Niederlassungen";"2008";"63088 Friesack, Stadt";"0  bis     9";108;
"Anzahl  Niederlassungen";"2008";"63088 Friesack, Stadt";"10  bis   49";4;
"Anzahl  Niederlassungen";"2008";"63088 Friesack, Stadt";"50  bis 249";1;
"Anzahl  Niederlassungen";"2008";"63088 Friesack, Stadt";"250 und mehr";1;
"Anzahl  Niederlassungen";"2008";"63094 Gollenberg";"0  bis     9";10;
"Anzahl  Niederlassungen";"2008";"63094 Gollenberg";"10  bis   49";-;
"Anzahl  Niederlassungen";"2008";"63094 Gollenberg";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"63094 Gollenberg";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"63112 Großderschau";"0  bis     9";15;
"Anzahl  Niederlassungen";"2008";"63112 Großderschau";"10  bis   49";-;
"Anzahl  Niederlassungen";"2008";"63112 Großderschau";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"63112 Großderschau";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"63134 Havelaue";"0  bis     9";33;
"Anzahl  Niederlassungen";"2008";"63134 Havelaue";"10  bis   49";-;
"Anzahl  Niederlassungen";"2008";"63134 Havelaue";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"63134 Havelaue";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"63142 Wiesenaue";"0  bis     9";17;
"Anzahl  Niederlassungen";"2008";"63142 Wiesenaue";"10  bis   49";1;
"Anzahl  Niederlassungen";"2008";"63142 Wiesenaue";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"63142 Wiesenaue";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"63148 Ketzin/Havel, Stadt";"0  bis     9";226;
"Anzahl  Niederlassungen";"2008";"63148 Ketzin/Havel, Stadt";"10  bis   49";24;
"Anzahl  Niederlassungen";"2008";"63148 Ketzin/Havel, Stadt";"50  bis 249";4;
"Anzahl  Niederlassungen";"2008";"63148 Ketzin/Havel, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"63161 Kleßen-Görne";"0  bis     9";10;
"Anzahl  Niederlassungen";"2008";"63161 Kleßen-Görne";"10  bis   49";-;
"Anzahl  Niederlassungen";"2008";"63161 Kleßen-Görne";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"63161 Kleßen-Görne";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"63165 Kotzen";"0  bis     9";17;
"Anzahl  Niederlassungen";"2008";"63165 Kotzen";"10  bis   49";-;
"Anzahl  Niederlassungen";"2008";"63165 Kotzen";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"63165 Kotzen";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"63186 Märkisch Luch";"0  bis     9";36;
"Anzahl  Niederlassungen";"2008";"63186 Märkisch Luch";"10  bis   49";3;
"Anzahl  Niederlassungen";"2008";"63186 Märkisch Luch";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"63186 Märkisch Luch";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"63189 Milower Land";"0  bis     9";164;
"Anzahl  Niederlassungen";"2008";"63189 Milower Land";"10  bis   49";5;
"Anzahl  Niederlassungen";"2008";"63189 Milower Land";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"63189 Milower Land";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"63202 Mühlenberge";"0  bis     9";19;
"Anzahl  Niederlassungen";"2008";"63202 Mühlenberge";"10  bis   49";3;
"Anzahl  Niederlassungen";"2008";"63202 Mühlenberge";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"63202 Mühlenberge";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"63208 Nauen, Stadt";"0  bis     9";618;
"Anzahl  Niederlassungen";"2008";"63208 Nauen, Stadt";"10  bis   49";72;
"Anzahl  Niederlassungen";"2008";"63208 Nauen, Stadt";"50  bis 249";17;
"Anzahl  Niederlassungen";"2008";"63208 Nauen, Stadt";"250 und mehr";2;
"Anzahl  Niederlassungen";"2008";"63212 Nennhausen";"0  bis     9";77;
"Anzahl  Niederlassungen";"2008";"63212 Nennhausen";"10  bis   49";1;
"Anzahl  Niederlassungen";"2008";"63212 Nennhausen";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"63212 Nennhausen";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"63228 Paulinenaue";"0  bis     9";41;
"Anzahl  Niederlassungen";"2008";"63228 Paulinenaue";"10  bis   49";2;
"Anzahl  Niederlassungen";"2008";"63228 Paulinenaue";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"63228 Paulinenaue";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"63240 Pessin";"0  bis     9";28;
"Anzahl  Niederlassungen";"2008";"63240 Pessin";"10  bis   49";-;
"Anzahl  Niederlassungen";"2008";"63240 Pessin";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"63240 Pessin";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"63244 Premnitz, Stadt";"0  bis     9";264;
"Anzahl  Niederlassungen";"2008";"63244 Premnitz, Stadt";"10  bis   49";38;
"Anzahl  Niederlassungen";"2008";"63244 Premnitz, Stadt";"50  bis 249";8;
"Anzahl  Niederlassungen";"2008";"63244 Premnitz, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"63252 Rathenow, Stadt";"0  bis     9";1028;
"Anzahl  Niederlassungen";"2008";"63252 Rathenow, Stadt";"10  bis   49";94;
"Anzahl  Niederlassungen";"2008";"63252 Rathenow, Stadt";"50  bis 249";22;
"Anzahl  Niederlassungen";"2008";"63252 Rathenow, Stadt";"250 und mehr";4;
"Anzahl  Niederlassungen";"2008";"63256 Retzow";"0  bis     9";17;
"Anzahl  Niederlassungen";"2008";"63256 Retzow";"10  bis   49";2;
"Anzahl  Niederlassungen";"2008";"63256 Retzow";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"63256 Retzow";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"63260 Rhinow, Stadt";"0  bis     9";96;
"Anzahl  Niederlassungen";"2008";"63260 Rhinow, Stadt";"10  bis   49";7;
"Anzahl  Niederlassungen";"2008";"63260 Rhinow, Stadt";"50  bis 249";1;
"Anzahl  Niederlassungen";"2008";"63260 Rhinow, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"63273 Schönwalde-Glien";"0  bis     9";332;
"Anzahl  Niederlassungen";"2008";"63273 Schönwalde-Glien";"10  bis   49";17;
"Anzahl  Niederlassungen";"2008";"63273 Schönwalde-Glien";"50  bis 249";5;
"Anzahl  Niederlassungen";"2008";"63273 Schönwalde-Glien";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"63274 Seeblick";"0  bis     9";31;
"Anzahl  Niederlassungen";"2008";"63274 Seeblick";"10  bis   49";1;
"Anzahl  Niederlassungen";"2008";"63274 Seeblick";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"63274 Seeblick";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"63293 Stechow-Ferchesar";"0  bis     9";37;
"Anzahl  Niederlassungen";"2008";"63293 Stechow-Ferchesar";"10  bis   49";-;
"Anzahl  Niederlassungen";"2008";"63293 Stechow-Ferchesar";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"63293 Stechow-Ferchesar";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"63357 Wustermark";"0  bis     9";244;
"Anzahl  Niederlassungen";"2008";"63357 Wustermark";"10  bis   49";25;
"Anzahl  Niederlassungen";"2008";"63357 Wustermark";"50  bis 249";16;
"Anzahl  Niederlassungen";"2008";"63357 Wustermark";"250 und mehr";1;
"Anzahl  Niederlassungen";"2008";"64009 Alt Tucheband";"0  bis     9";16;
"Anzahl  Niederlassungen";"2008";"64009 Alt Tucheband";"10  bis   49";-;
"Anzahl  Niederlassungen";"2008";"64009 Alt Tucheband";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"64009 Alt Tucheband";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"64029 Altlandsberg, Stadt";"0  bis     9";435;
"Anzahl  Niederlassungen";"2008";"64029 Altlandsberg, Stadt";"10  bis   49";22;
"Anzahl  Niederlassungen";"2008";"64029 Altlandsberg, Stadt";"50  bis 249";5;
"Anzahl  Niederlassungen";"2008";"64029 Altlandsberg, Stadt";"250 und mehr";1;
"Anzahl  Niederlassungen";"2008";"64044 Bad Freienwalde (Oder), Stadt";"0  bis     9";511;
"Anzahl  Niederlassungen";"2008";"64044 Bad Freienwalde (Oder), Stadt";"10  bis   49";39;
"Anzahl  Niederlassungen";"2008";"64044 Bad Freienwalde (Oder), Stadt";"50  bis 249";9;
"Anzahl  Niederlassungen";"2008";"64044 Bad Freienwalde (Oder), Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"64053 Beiersdorf-Freudenberg";"0  bis     9";65;
"Anzahl  Niederlassungen";"2008";"64053 Beiersdorf-Freudenberg";"10  bis   49";4;
"Anzahl  Niederlassungen";"2008";"64053 Beiersdorf-Freudenberg";"50  bis 249";1;
"Anzahl  Niederlassungen";"2008";"64053 Beiersdorf-Freudenberg";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"64057 Bleyen-Genschmar";"0  bis     9";8;
"Anzahl  Niederlassungen";"2008";"64057 Bleyen-Genschmar";"10  bis   49";-;
"Anzahl  Niederlassungen";"2008";"64057 Bleyen-Genschmar";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"64057 Bleyen-Genschmar";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"64061 Bliesdorf";"0  bis     9";20;
"Anzahl  Niederlassungen";"2008";"64061 Bliesdorf";"10  bis   49";1;
"Anzahl  Niederlassungen";"2008";"64061 Bliesdorf";"50  bis 249";2;
"Anzahl  Niederlassungen";"2008";"64061 Bliesdorf";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"64084 Buckow (Märkische Schweiz), Stadt";"0  bis     9";96;
"Anzahl  Niederlassungen";"2008";"64084 Buckow (Märkische Schweiz), Stadt";"10  bis   49";5;
"Anzahl  Niederlassungen";"2008";"64084 Buckow (Märkische Schweiz), Stadt";"50  bis 249";1;
"Anzahl  Niederlassungen";"2008";"64084 Buckow (Märkische Schweiz), Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"64125 Falkenberg";"0  bis     9";64;
"Anzahl  Niederlassungen";"2008";"64125 Falkenberg";"10  bis   49";5;
"Anzahl  Niederlassungen";"2008";"64125 Falkenberg";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"64125 Falkenberg";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"64128 Falkenhagen (Mark)";"0  bis     9";24;
"Anzahl  Niederlassungen";"2008";"64128 Falkenhagen (Mark)";"10  bis   49";2;
"Anzahl  Niederlassungen";"2008";"64128 Falkenhagen (Mark)";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"64128 Falkenhagen (Mark)";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"64130 Fichtenhöhe";"0  bis     9";13;
"Anzahl  Niederlassungen";"2008";"64130 Fichtenhöhe";"10  bis   49";-;
"Anzahl  Niederlassungen";"2008";"64130 Fichtenhöhe";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"64130 Fichtenhöhe";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"64136 Fredersdorf-Vogelsdorf";"0  bis     9";610;
"Anzahl  Niederlassungen";"2008";"64136 Fredersdorf-Vogelsdorf";"10  bis   49";47;
"Anzahl  Niederlassungen";"2008";"64136 Fredersdorf-Vogelsdorf";"50  bis 249";12;
"Anzahl  Niederlassungen";"2008";"64136 Fredersdorf-Vogelsdorf";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"64153 Garzau-Garzin";"0  bis     9";15;
"Anzahl  Niederlassungen";"2008";"64153 Garzau-Garzin";"10  bis   49";1;
"Anzahl  Niederlassungen";"2008";"64153 Garzau-Garzin";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"64153 Garzau-Garzin";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"64172 Golzow";"0  bis     9";38;
"Anzahl  Niederlassungen";"2008";"64172 Golzow";"10  bis   49";1;
"Anzahl  Niederlassungen";"2008";"64172 Golzow";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"64172 Golzow";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"64190 Gusow-Platkow";"0  bis     9";36;
"Anzahl  Niederlassungen";"2008";"64190 Gusow-Platkow";"10  bis   49";3;
"Anzahl  Niederlassungen";"2008";"64190 Gusow-Platkow";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"64190 Gusow-Platkow";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"64205 Heckelberg-Brunow";"0  bis     9";24;
"Anzahl  Niederlassungen";"2008";"64205 Heckelberg-Brunow";"10  bis   49";2;
"Anzahl  Niederlassungen";"2008";"64205 Heckelberg-Brunow";"50  bis 249";-;
"Anzahl  Niederlassungen";"2008";"64205 Heckelberg-Brunow";"250 und mehr";-;
"Anzahl  Niederlassungen";"2008";"64222 Höhenland";"0  bis     9";36;
