"Datenbasis";"Berichtsjahr";"Region";"Beschäftigtengrößenklassen";"Zählen";
"Anzahl  Niederlassungen";"2018";"51000 Brandenburg an der Havel, Stadt";"250 und mehr";15;
"Anzahl  Niederlassungen";"2018";"52000 Cottbus, Stadt";"0  bis     9";3634;
"Anzahl  Niederlassungen";"2018";"52000 Cottbus, Stadt";"10  bis   49";485;
"Anzahl  Niederlassungen";"2018";"52000 Cottbus, Stadt";"50  bis 249";140;
"Anzahl  Niederlassungen";"2018";"52000 Cottbus, Stadt";"250 und mehr";19;
"Anzahl  Niederlassungen";"2018";"53000 Frankfurt (Oder), Stadt";"0  bis     9";1952;
"Anzahl  Niederlassungen";"2018";"53000 Frankfurt (Oder), Stadt";"10  bis   49";285;
"Anzahl  Niederlassungen";"2018";"53000 Frankfurt (Oder), Stadt";"50  bis 249";96;
"Anzahl  Niederlassungen";"2018";"53000 Frankfurt (Oder), Stadt";"250 und mehr";10;
"Anzahl  Niederlassungen";"2018";"54000 Potsdam, Stadt";"0  bis     9";7427;
"Anzahl  Niederlassungen";"2018";"54000 Potsdam, Stadt";"10  bis   49";840;
"Anzahl  Niederlassungen";"2018";"54000 Potsdam, Stadt";"50  bis 249";242;
"Anzahl  Niederlassungen";"2018";"54000 Potsdam, Stadt";"250 und mehr";47;
"Anzahl  Niederlassungen";"2018";"60005 Ahrensfelde";"0  bis     9";738;
"Anzahl  Niederlassungen";"2018";"60005 Ahrensfelde";"10  bis   49";99;
"Anzahl  Niederlassungen";"2018";"60005 Ahrensfelde";"50  bis 249";17;
"Anzahl  Niederlassungen";"2018";"60005 Ahrensfelde";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"60012 Althüttendorf";"0  bis     9";23;
"Anzahl  Niederlassungen";"2018";"60012 Althüttendorf";"10  bis   49";2;
"Anzahl  Niederlassungen";"2018";"60012 Althüttendorf";"50  bis 249";-;
"Anzahl  Niederlassungen";"2018";"60012 Althüttendorf";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"60020 Bernau bei Berlin, Stadt";"0  bis     9";1433;
"Anzahl  Niederlassungen";"2018";"60020 Bernau bei Berlin, Stadt";"10  bis   49";172;
"Anzahl  Niederlassungen";"2018";"60020 Bernau bei Berlin, Stadt";"50  bis 249";24;
"Anzahl  Niederlassungen";"2018";"60020 Bernau bei Berlin, Stadt";"250 und mehr";4;
"Anzahl  Niederlassungen";"2018";"60024 Biesenthal, Stadt";"0  bis     9";219;
"Anzahl  Niederlassungen";"2018";"60024 Biesenthal, Stadt";"10  bis   49";18;
"Anzahl  Niederlassungen";"2018";"60024 Biesenthal, Stadt";"50  bis 249";6;
"Anzahl  Niederlassungen";"2018";"60024 Biesenthal, Stadt";"250 und mehr";1;
"Anzahl  Niederlassungen";"2018";"60034 Breydin";"0  bis     9";27;
"Anzahl  Niederlassungen";"2018";"60034 Breydin";"10  bis   49";-;
"Anzahl  Niederlassungen";"2018";"60034 Breydin";"50  bis 249";-;
"Anzahl  Niederlassungen";"2018";"60034 Breydin";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"60036 Britz";"0  bis     9";75;
"Anzahl  Niederlassungen";"2018";"60036 Britz";"10  bis   49";8;
"Anzahl  Niederlassungen";"2018";"60036 Britz";"50  bis 249";2;
"Anzahl  Niederlassungen";"2018";"60036 Britz";"250 und mehr";1;
"Anzahl  Niederlassungen";"2018";"60045 Chorin";"0  bis     9";68;
"Anzahl  Niederlassungen";"2018";"60045 Chorin";"10  bis   49";6;
"Anzahl  Niederlassungen";"2018";"60045 Chorin";"50  bis 249";1;
"Anzahl  Niederlassungen";"2018";"60045 Chorin";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"60052 Eberswalde, Stadt";"0  bis     9";1245;
"Anzahl  Niederlassungen";"2018";"60052 Eberswalde, Stadt";"10  bis   49";179;
"Anzahl  Niederlassungen";"2018";"60052 Eberswalde, Stadt";"50  bis 249";47;
"Anzahl  Niederlassungen";"2018";"60052 Eberswalde, Stadt";"250 und mehr";7;
"Anzahl  Niederlassungen";"2018";"60068 Friedrichswalde";"0  bis     9";43;
"Anzahl  Niederlassungen";"2018";"60068 Friedrichswalde";"10  bis   49";-;
"Anzahl  Niederlassungen";"2018";"60068 Friedrichswalde";"50  bis 249";-;
"Anzahl  Niederlassungen";"2018";"60068 Friedrichswalde";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"60092 Hohenfinow";"0  bis     9";18;
"Anzahl  Niederlassungen";"2018";"60092 Hohenfinow";"10  bis   49";-;
"Anzahl  Niederlassungen";"2018";"60092 Hohenfinow";"50  bis 249";-;
"Anzahl  Niederlassungen";"2018";"60092 Hohenfinow";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"60100 Joachimsthal, Stadt";"0  bis     9";131;
"Anzahl  Niederlassungen";"2018";"60100 Joachimsthal, Stadt";"10  bis   49";11;
"Anzahl  Niederlassungen";"2018";"60100 Joachimsthal, Stadt";"50  bis 249";3;
"Anzahl  Niederlassungen";"2018";"60100 Joachimsthal, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"60128 Liepe";"0  bis     9";18;
"Anzahl  Niederlassungen";"2018";"60128 Liepe";"10  bis   49";3;
"Anzahl  Niederlassungen";"2018";"60128 Liepe";"50  bis 249";-;
"Anzahl  Niederlassungen";"2018";"60128 Liepe";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"60149 Lunow-Stolzenhagen";"0  bis     9";30;
"Anzahl  Niederlassungen";"2018";"60149 Lunow-Stolzenhagen";"10  bis   49";3;
"Anzahl  Niederlassungen";"2018";"60149 Lunow-Stolzenhagen";"50  bis 249";-;
"Anzahl  Niederlassungen";"2018";"60149 Lunow-Stolzenhagen";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"60154 Marienwerder";"0  bis     9";79;
"Anzahl  Niederlassungen";"2018";"60154 Marienwerder";"10  bis   49";6;
"Anzahl  Niederlassungen";"2018";"60154 Marienwerder";"50  bis 249";-;
"Anzahl  Niederlassungen";"2018";"60154 Marienwerder";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"60161 Melchow";"0  bis     9";35;
"Anzahl  Niederlassungen";"2018";"60161 Melchow";"10  bis   49";-;
"Anzahl  Niederlassungen";"2018";"60161 Melchow";"50  bis 249";1;
"Anzahl  Niederlassungen";"2018";"60161 Melchow";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"60172 Niederfinow";"0  bis     9";28;
"Anzahl  Niederlassungen";"2018";"60172 Niederfinow";"10  bis   49";-;
"Anzahl  Niederlassungen";"2018";"60172 Niederfinow";"50  bis 249";-;
"Anzahl  Niederlassungen";"2018";"60172 Niederfinow";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"60176 Oderberg, Stadt";"0  bis     9";67;
"Anzahl  Niederlassungen";"2018";"60176 Oderberg, Stadt";"10  bis   49";3;
"Anzahl  Niederlassungen";"2018";"60176 Oderberg, Stadt";"50  bis 249";1;
"Anzahl  Niederlassungen";"2018";"60176 Oderberg, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"60181 Panketal";"0  bis     9";835;
"Anzahl  Niederlassungen";"2018";"60181 Panketal";"10  bis   49";38;
"Anzahl  Niederlassungen";"2018";"60181 Panketal";"50  bis 249";5;
"Anzahl  Niederlassungen";"2018";"60181 Panketal";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"60185 Parsteinsee";"0  bis     9";22;
"Anzahl  Niederlassungen";"2018";"60185 Parsteinsee";"10  bis   49";2;
"Anzahl  Niederlassungen";"2018";"60185 Parsteinsee";"50  bis 249";-;
"Anzahl  Niederlassungen";"2018";"60185 Parsteinsee";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"60192 Rüdnitz";"0  bis     9";61;
"Anzahl  Niederlassungen";"2018";"60192 Rüdnitz";"10  bis   49";2;
"Anzahl  Niederlassungen";"2018";"60192 Rüdnitz";"50  bis 249";1;
"Anzahl  Niederlassungen";"2018";"60192 Rüdnitz";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"60198 Schorfheide";"0  bis     9";434;
"Anzahl  Niederlassungen";"2018";"60198 Schorfheide";"10  bis   49";54;
"Anzahl  Niederlassungen";"2018";"60198 Schorfheide";"50  bis 249";9;
"Anzahl  Niederlassungen";"2018";"60198 Schorfheide";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"60250 Sydower Fließ";"0  bis     9";26;
"Anzahl  Niederlassungen";"2018";"60250 Sydower Fließ";"10  bis   49";2;
"Anzahl  Niederlassungen";"2018";"60250 Sydower Fließ";"50  bis 249";-;
"Anzahl  Niederlassungen";"2018";"60250 Sydower Fließ";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"60269 Wandlitz";"0  bis     9";1152;
"Anzahl  Niederlassungen";"2018";"60269 Wandlitz";"10  bis   49";65;
"Anzahl  Niederlassungen";"2018";"60269 Wandlitz";"50  bis 249";8;
"Anzahl  Niederlassungen";"2018";"60269 Wandlitz";"250 und mehr";1;
"Anzahl  Niederlassungen";"2018";"60280 Werneuchen, Stadt";"0  bis     9";321;
"Anzahl  Niederlassungen";"2018";"60280 Werneuchen, Stadt";"10  bis   49";44;
"Anzahl  Niederlassungen";"2018";"60280 Werneuchen, Stadt";"50  bis 249";14;
"Anzahl  Niederlassungen";"2018";"60280 Werneuchen, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"60296 Ziethen";"0  bis     9";15;
"Anzahl  Niederlassungen";"2018";"60296 Ziethen";"10  bis   49";-;
"Anzahl  Niederlassungen";"2018";"60296 Ziethen";"50  bis 249";1;
"Anzahl  Niederlassungen";"2018";"60296 Ziethen";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"61005 Alt Zauche-Wußwerk";"0  bis     9";19;
"Anzahl  Niederlassungen";"2018";"61005 Alt Zauche-Wußwerk";"10  bis   49";1;
"Anzahl  Niederlassungen";"2018";"61005 Alt Zauche-Wußwerk";"50  bis 249";-;
"Anzahl  Niederlassungen";"2018";"61005 Alt Zauche-Wußwerk";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"61017 Bersteland";"0  bis     9";37;
"Anzahl  Niederlassungen";"2018";"61017 Bersteland";"10  bis   49";6;
"Anzahl  Niederlassungen";"2018";"61017 Bersteland";"50  bis 249";2;
"Anzahl  Niederlassungen";"2018";"61017 Bersteland";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"61020 Bestensee";"0  bis     9";276;
"Anzahl  Niederlassungen";"2018";"61020 Bestensee";"10  bis   49";24;
"Anzahl  Niederlassungen";"2018";"61020 Bestensee";"50  bis 249";3;
"Anzahl  Niederlassungen";"2018";"61020 Bestensee";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"61061 Byhleguhre-Byhlen";"0  bis     9";19;
"Anzahl  Niederlassungen";"2018";"61061 Byhleguhre-Byhlen";"10  bis   49";3;
"Anzahl  Niederlassungen";"2018";"61061 Byhleguhre-Byhlen";"50  bis 249";-;
"Anzahl  Niederlassungen";"2018";"61061 Byhleguhre-Byhlen";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"61097 Drahnsdorf";"0  bis     9";12;
"Anzahl  Niederlassungen";"2018";"61097 Drahnsdorf";"10  bis   49";-;
"Anzahl  Niederlassungen";"2018";"61097 Drahnsdorf";"50  bis 249";-;
"Anzahl  Niederlassungen";"2018";"61097 Drahnsdorf";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"61112 Eichwalde";"0  bis     9";275;
"Anzahl  Niederlassungen";"2018";"61112 Eichwalde";"10  bis   49";18;
"Anzahl  Niederlassungen";"2018";"61112 Eichwalde";"50  bis 249";-;
"Anzahl  Niederlassungen";"2018";"61112 Eichwalde";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"61164 Golßen, Stadt";"0  bis     9";102;
