AGS5;AGS;AGS-Bezeichnung;WZ3;WZ1-Code;WZ2-Code;WZ3-CodeNeu;WZ3-Code;WZ3-Name;insgesamt;SvB_0_bis_9;SvB_10_bis_49;SvB_50_bis_249;SvB_250_und_mehr;ID
11001;11001001;Mitte;;;;;;;24009;20811;2403;625;170;1
11002;11002002;Friedrichshain-Kreuzberg;;;;;;;17464;16019;1146;241;58;2
11003;11003003;Pankow;;;;;;;20291;19045;992;216;38;3
11004;11004004;Charlottenburg-Wilmersdorf;;;;;;;27716;25276;1963;408;69;4
11005;11005005;Spandau;;;;;;;7042;6391;508;116;27;5
11006;11006006;Steglitz-Zehlendorf;;;;;;;13934;13019;722;155;38;6
11007;11007007;Tempelhof-Schöneberg;;;;;;;17241;15713;1201;271;56;7
11008;11008008;Neukölln;;;;;;;10122;9319;628;152;23;8
11009;11009009;Treptow-Köpenick;;;;;;;10466;9609;666;165;26;9
11010;11010010;Marzahn-Hellersdorf;;;;;;;7534;6891;510;118;15;10
11011;11011011;Lichtenberg;;;;;;;7654;6952;541;130;31;11
11012;11012012;Reinickendorf;;;;;;;9154;8243;693;179;39;12
51000;12051000;Brandenburg an der Havel, Stadt;;;;;;;2648;2270;301;63;14;132
52000;12052000;Cottbus, Stadt;;;;;;;4522;3896;489;121;16;18
53000;12053000;Frankfurt (Oder), Stadt;;;;;;;2469;2107;275;76;11;321
54000;12054000;Potsdam, Stadt;;;;;;;8146;7176;728;200;42;35
60005;12060005;Ahrensfelde;;;;;;;829;739;75;15;0;222
60012;12060012;Althüttendorf;;;;;;;26;24;1;1;0;409
60020;12060020;Bernau bei Berlin, Stadt;;;;;;;1649;1489;131;25;4;95
60024;12060024;Biesenthal, Stadt;;;;;;;249;224;19;6;0;405
60034;12060034;Breydin;;;;;;;26;24;1;1;0;257
60036;12060036;Britz;;;;;;;80;73;5;2;0;255
60045;12060045;Chorin;;;;;;;86;78;8;0;0;44
60052;12060052;Eberswalde, Stadt;;;;;;;1488;1267;169;48;4;39
60068;12060068;Friedrichswalde;;;;;;;42;42;0;0;0;106
60092;12060092;Hohenfinow;;;;;;;16;16;0;0;0;66
60100;12060100;Joachimsthal, Stadt;;;;;;;160;150;8;2;0;412
60128;12060128;Liepe;;;;;;;25;24;1;0;0;265
60149;12060149;Lunow-Stolzenhagen;;;;;;;34;31;3;0;0;363
60154;12060154;Marienwerder;;;;;;;85;80;5;0;0;378
60161;12060161;Melchow;;;;;;;43;41;1;1;0;235
60172;12060172;Niederfinow;;;;;;;27;27;0;0;0;110
60176;12060176;Oderberg, Stadt;;;;;;;87;82;4;1;0;402
60181;12060181;Panketal;;;;;;;863;832;30;1;0;186
60185;12060185;Parsteinsee;;;;;;;16;15;1;0;0;269
60192;12060192;Rüdnitz;;;;;;;68;64;4;0;0;153
60198;12060198;Schorfheide;;;;;;;489;437;45;7;0;417
60250;12060250;Sydower Fließ;;;;;;;25;23;2;0;0;118
60269;12060269;Wandlitz;;;;;;;1193;1135;52;6;0;396
60280;12060280;Werneuchen, Stadt;;;;;;;410;358;41;11;0;180
60296;12060296;Ziethen;;;;;;;17;16;1;0;0;271
61005;12061005;Alt Zauche-Wußwerk;;;;;;;19;18;1;0;0;345
61017;12061017;Bersteland;;;;;;;41;35;4;2;0;115
61020;12061020;Bestensee;;;;;;;278;257;18;3;0;408
61061;12061061;Byhleguhre-Byhlen;;;;;;;18;14;4;0;0;311
61097;12061097;Drahnsdorf;;;;;;;15;15;0;0;0;227
61112;12061112;Eichwalde;;;;;;;305;291;14;0;0;397
61164;12061164;Golßen, Stadt;;;;;;;120;108;6;5;1;200
61192;12061192;Groß Köris;;;;;;;112;105;7;0;0;399
61216;12061216;Halbe;;;;;;;102;89;11;2;0;50
61217;12061217;Heidesee;;;;;;;346;321;23;2;0;198
61219;12061219;Heideblick;;;;;;;135;126;9;0;0;183
61224;12061224;Jamlitz;;;;;;;15;14;1;0;0;43
61244;12061244;Kasel-Golzig;;;;;;;36;34;1;1;0;189
61260;12061260;Königs Wusterhausen, Stadt;;;;;;;1543;1388;129;23;3;407
61265;12061265;Krausnick-Groß Wasserburg;;;;;;;30;23;4;2;1;121
61308;12061308;Lieberose, Stadt;;;;;;;79;75;4;0;0;348
61316;12061316;Lübben (Spreewald), Stadt;;;;;;;725;646;61;16;2;261
61320;12061320;Luckau, Stadt;;;;;;;486;417;59;10;0;197
61328;12061328;Märkisch Buchholz, Stadt;;;;;;;35;35;0;0;0;119
61329;12061329;Märkische Heide;;;;;;;159;145;14;0;0;246
61332;12061332;Mittenwalde, Stadt;;;;;;;418;364;36;15;3;253
61344;12061344;Münchehofe;;;;;;;17;15;1;1;0;135
61352;12061352;Neu Zauche;;;;;;;49;43;6;0;0;312
61405;12061405;Rietzneuendorf-Staakow;;;;;;;11;10;1;0;0;181
61428;12061428;Schlepzig;;;;;;;35;30;5;0;0;123
61433;12061433;Schönefeld;;;;;;;1025;890;92;31;12;92
61435;12061435;Schönwald;;;;;;;48;45;3;0;0;90
61444;12061444;Schulzendorf;;;;;;;307;299;6;2;0;138
61448;12061448;Schwerin;;;;;;;41;40;1;0;0;234
61450;12061450;Schwielochsee;;;;;;;109;105;3;1;0;278
61470;12061470;Spreewaldheide;;;;;;;8;8;0;0;0;354
61471;12061471;Steinreich;;;;;;;7;6;1;0;0;155
61476;12061476;Straupitz;;;;;;;35;31;3;1;0;40
61492;12061492;Teupitz, Stadt;;;;;;;91;85;5;0;1;400
61510;12061510;Unterspreewald;;;;;;;49;45;3;1;0;109
61540;12061540;Wildau;;;;;;;610;499;89;20;2;80
61572;12061572;Zeuthen;;;;;;;524;497;23;4;0;184
62024;12062024;Bad Liebenwerda, Stadt;;;;;;;503;447;47;9;0;239
62088;12062088;Crinitz;;;;;;;80;73;7;0;0;187
62092;12062092;Doberlug-Kirchhain, Stadt;;;;;;;343;307;33;3;0;211
62124;12062124;Elsterwerda, Stadt;;;;;;;489;413;66;10;0;103
62128;12062128;Falkenberg/Elster, Stadt;;;;;;;253;216;30;7;0;91
62134;12062134;Fichtwald;;;;;;;26;24;2;0;0;373
62140;12062140;Finsterwalde, Stadt;;;;;;;724;633;72;16;3;388
62177;12062177;Gorden-Staupitz;;;;;;;27;26;1;0;0;143
62196;12062196;Gröden;;;;;;;51;49;1;1;0;233
62208;12062208;Großthiemig;;;;;;;32;28;3;1;0;232
62219;12062219;Heideland;;;;;;;14;12;2;0;0;210
62224;12062224;Herzberg (Elster), Stadt;;;;;;;487;433;39;14;1;178
62232;12062232;Hirschfeld;;;;;;;59;54;4;1;0;272
62237;12062237;Hohenbucko;;;;;;;33;32;1;0;0;214
62240;12062240;Hohenleipisch;;;;;;;62;59;2;1;0;238
62282;12062282;Kremitzaue;;;;;;;15;14;1;0;0;258
62289;12062289;Lebusa;;;;;;;31;29;2;0;0;17
62293;12062293;Lichterfeld-Schacksdorf;;;;;;;43;40;2;1;0;429
62333;12062333;Massen-Niederlausitz;;;;;;;147;119;22;5;1;372
62336;12062336;Merzdorf;;;;;;;19;18;0;1;0;168
62341;12062341;Mühlberg/Elbe, Stadt;;;;;;;138;132;5;1;0;154
62372;12062372;Plessa;;;;;;;87;81;5;1;0;140
62410;12062410;Röderland;;;;;;;148;127;19;2;0;23
62417;12062417;Rückersdorf;;;;;;;57;52;4;1;0;209
62425;12062425;Sallgast;;;;;;;47;44;3;0;0;113
62440;12062440;Schilda;;;;;;;6;6;0;0;0;256
62445;12062445;Schlieben, Stadt;;;;;;;118;112;4;2;0;430
62453;12062453;Schönborn;;;;;;;50;47;3;0;0;117
