AGS5;AGS;AGS-Bezeichnung;WZ3;WZ1-Code;WZ2-Code;WZ3-CodeNeu;WZ3-Code;WZ3-Name;insgesamt;SvB_0_bis_9;SvB_10_bis_49;SvB_50_bis_249;SvB_250_und_mehr;ID
11001;11001001;Mitte;;;;;;;21941;19360;1903;538;140;1
11002;11002002;Friedrichshain-Kreuzberg;;;;;;;15431;14208;969;199;55;2
11003;11003003;Pankow;;;;;;;18634;17548;876;177;33;3
11004;11004004;Charlottenburg-Wilmersdorf;;;;;;;26306;24118;1729;389;70;4
11005;11005005;Spandau;;;;;;;6744;6175;437;109;23;5
11006;11006006;Steglitz-Zehlendorf;;;;;;;13644;12766;690;155;33;6
11007;11007007;Tempelhof-Schöneberg;;;;;;;16528;15198;1023;257;50;7
11008;11008008;Neukölln;;;;;;;9411;8702;549;138;22;8
11009;11009009;Treptow-Köpenick;;;;;;;9990;9220;607;138;25;9
11010;11010010;Marzahn-Hellersdorf;;;;;;;7385;6808;463;99;15;10
11011;11011011;Lichtenberg;;;;;;;7413;6755;485;141;32;11
11012;11012012;Reinickendorf;;;;;;;8993;8142;619;195;37;12
51000;12051000;Brandenburg an der Havel, Stadt;;;;;;;2713;2352;289;60;12;132
52000;12052000;Cottbus, Stadt;;;;;;;4597;3973;491;115;18;18
53000;12053000;Frankfurt (Oder), Stadt;;;;;;;2612;2276;247;75;14;321
54000;12054000;Potsdam, Stadt;;;;;;;7790;6891;668;195;36;35
60005;12060005;Ahrensfelde;;;;;;;809;724;70;15;0;222
60012;12060012;Althüttendorf;;;;;;;35;32;3;0;0;409
60020;12060020;Bernau bei Berlin, Stadt;;;;;;;1597;1444;128;21;4;95
60024;12060024;Biesenthal, Stadt;;;;;;;253;234;15;4;0;405
60034;12060034;Breydin;;;;;;;25;22;2;1;0;257
60036;12060036;Britz;;;;;;;83;77;5;0;1;255
60045;12060045;Chorin;;;;;;;91;87;4;0;0;44
60052;12060052;Eberswalde, Stadt;;;;;;;1523;1316;159;42;6;39
60068;12060068;Friedrichswalde;;;;;;;36;36;0;0;0;106
60092;12060092;Hohenfinow;;;;;;;21;21;0;0;0;66
60100;12060100;Joachimsthal, Stadt;;;;;;;161;154;5;2;0;412
60128;12060128;Liepe;;;;;;;18;18;0;0;0;265
60149;12060149;Lunow-Stolzenhagen;;;;;;;30;27;3;0;0;363
60154;12060154;Marienwerder;;;;;;;95;90;5;0;0;378
60161;12060161;Melchow;;;;;;;36;34;1;1;0;235
60172;12060172;Niederfinow;;;;;;;32;30;2;0;0;110
60176;12060176;Oderberg, Stadt;;;;;;;82;80;1;1;0;402
60181;12060181;Panketal;;;;;;;856;832;23;1;0;186
60185;12060185;Parsteinsee;;;;;;;17;16;1;0;0;269
60192;12060192;Rüdnitz;;;;;;;61;60;1;0;0;153
60198;12060198;Schorfheide;;;;;;;494;444;44;6;0;417
60250;12060250;Sydower Fließ;;;;;;;34;34;0;0;0;118
60269;12060269;Wandlitz;;;;;;;1151;1091;54;6;0;396
60280;12060280;Werneuchen, Stadt;;;;;;;362;320;37;5;0;180
60296;12060296;Ziethen;;;;;;;24;22;1;1;0;271
61005;12061005;Alt Zauche-Wußwerk;;;;;;;17;16;1;0;0;345
61017;12061017;Bersteland;;;;;;;50;43;4;3;0;115
61020;12061020;Bestensee;;;;;;;256;237;15;3;1;408
61061;12061061;Byhleguhre-Byhlen;;;;;;;23;20;3;0;0;311
61097;12061097;Drahnsdorf;;;;;;;20;20;0;0;0;227
61112;12061112;Eichwalde;;;;;;;297;284;12;1;0;397
61164;12061164;Golßen, Stadt;;;;;;;115;101;11;2;1;200
61192;12061192;Groß Köris;;;;;;;108;105;3;0;0;399
61216;12061216;Halbe;;;;;;;94;83;6;4;1;50
61217;12061217;Heidesee;;;;;;;324;301;21;2;0;198
61219;12061219;Heideblick;;;;;;;120;112;8;0;0;183
61224;12061224;Jamlitz;;;;;;;15;14;1;0;0;43
61244;12061244;Kasel-Golzig;;;;;;;28;25;1;2;0;189
61260;12061260;Königs Wusterhausen, Stadt;;;;;;;1523;1378;117;27;1;407
61265;12061265;Krausnick-Groß Wasserburg;;;;;;;23;19;4;0;0;121
61308;12061308;Lieberose, Stadt;;;;;;;61;59;2;0;0;348
61316;12061316;Lübben (Spreewald), Stadt;;;;;;;744;667;61;14;2;261
61320;12061320;Luckau, Stadt;;;;;;;505;435;57;13;0;197
61328;12061328;Märkisch Buchholz, Stadt;;;;;;;31;31;0;0;0;119
61329;12061329;Märkische Heide;;;;;;;174;158;16;0;0;246
61332;12061332;Mittenwalde, Stadt;;;;;;;417;365;37;14;1;253
61344;12061344;Münchehofe;;;;;;;16;15;1;0;0;135
61352;12061352;Neu Zauche;;;;;;;48;43;5;0;0;312
61405;12061405;Rietzneuendorf-Staakow;;;;;;;13;13;0;0;0;181
61428;12061428;Schlepzig;;;;;;;31;27;4;0;0;123
61433;12061433;Schönefeld;;;;;;;881;766;77;31;7;92
61435;12061435;Schönwald;;;;;;;42;40;2;0;0;90
61444;12061444;Schulzendorf;;;;;;;293;287;5;1;0;138
61448;12061448;Schwerin;;;;;;;37;36;1;0;0;234
61450;12061450;Schwielochsee;;;;;;;104;97;6;1;0;278
61470;12061470;Spreewaldheide;;;;;;;8;8;0;0;0;354
61471;12061471;Steinreich;;;;;;;9;9;0;0;0;155
61476;12061476;Straupitz;;;;;;;33;29;4;0;0;40
61492;12061492;Teupitz, Stadt;;;;;;;115;111;3;0;1;400
61510;12061510;Unterspreewald;;;;;;;53;49;3;1;0;109
