AGS5;AGS;AGS-Bezeichnung;WZ3;WZ1-Code;WZ2-Code;WZ3-CodeNeu;WZ3-Code;WZ3-Name;insgesamt;SvB_0_bis_9;SvB_10_bis_49;SvB_50_bis_249;SvB_250_und_mehr;ID
11001;11001001;Mitte;;;;;;;19788;17530;1654;480;124;1
11002;11002002;Friedrichshain-Kreuzberg;;;;;;;13964;12901;841;179;43;2
11003;11003003;Pankow;;;;;;;16784;15764;820;163;37;3
11004;11004004;Charlottenburg-Wilmersdorf;;;;;;;24972;23036;1527;346;63;4
11005;11005005;Spandau;;;;;;;6480;5937;420;100;23;5
11006;11006006;Steglitz-Zehlendorf;;;;;;;13127;12309;644;136;38;6
11007;11007007;Tempelhof-Schöneberg;;;;;;;15897;14647;948;259;43;7
11008;11008008;Neukölln;;;;;;;9081;8417;519;119;26;8
11009;11009009;Treptow-Köpenick;;;;;;;9371;8678;540;132;21;9
11010;11010010;Marzahn-Hellersdorf;;;;;;;7095;6548;433;99;15;10
11011;11011011;Lichtenberg;;;;;;;7045;6413;470;135;27;11
11012;11012012;Reinickendorf;;;;;;;8723;7940;571;172;40;12
51000;12051000;Brandenburg an der Havel, Stadt;;;;;;;2652;2299;283;60;10;132
52000;12052000;Cottbus, Stadt;;;;;;;4543;3965;429;130;19;18
53000;12053000;Frankfurt (Oder), Stadt;;;;;;;2528;2182;264;69;13;321
54000;12054000;Potsdam, Stadt;;;;;;;7218;6376;618;195;29;35
60005;12060005;Ahrensfelde;;;;;;;739;663;56;20;0;222
60012;12060012;Althüttendorf;;;;;;;37;36;1;0;0;409
60020;12060020;Bernau bei Berlin, Stadt;;;;;;;1526;1375;122;26;3;95
60024;12060024;Biesenthal, Stadt;;;;;;;243;226;14;3;0;405
60034;12060034;Breydin;;;;;;;27;24;2;1;0;257
60036;12060036;Britz;;;;;;;74;68;5;0;1;255
60045;12060045;Chorin;;;;;;;77;73;4;0;0;44
60052;12060052;Eberswalde, Stadt;;;;;;;1489;1278;166;40;5;39
60068;12060068;Friedrichswalde;;;;;;;38;38;0;0;0;106
60092;12060092;Hohenfinow;;;;;;;16;16;0;0;0;66
60100;12060100;Joachimsthal, Stadt;;;;;;;152;146;4;2;0;412
60128;12060128;Liepe;;;;;;;16;16;0;0;0;265
60149;12060149;Lunow-Stolzenhagen;;;;;;;38;36;2;0;0;363
60154;12060154;Marienwerder;;;;;;;89;84;5;0;0;378
