AGS5;AGS;AGS-Bezeichnung;WZ3;WZ1-Code;WZ2-Code;WZ3-CodeNeu;WZ3-Code;WZ3-Name;insgesamt;SvB_0_bis_9;SvB_10_bis_49;SvB_50_bis_249;SvB_250_und_mehr;ID
11001;11001001;Mitte;;;;;;;24542;21253;2460;660;169;1
11002;11002002;Friedrichshain-Kreuzberg;;;;;;;17838;16342;1177;262;57;2
11003;11003003;Pankow;;;;;;;20568;19242;1053;231;42;3
11004;11004004;Charlottenburg-Wilmersdorf;;;;;;;27730;25273;1975;413;69;4
11005;11005005;Spandau;;;;;;;7199;6546;507;117;29;5
11006;11006006;Steglitz-Zehlendorf;;;;;;;14002;13055;761;149;37;6
11007;11007007;Tempelhof-Schöneberg;;;;;;;17361;15810;1221;275;55;7
11008;11008008;Neukölln;;;;;;;10476;9637;660;156;23;8
11009;11009009;Treptow-Köpenick;;;;;;;10471;9583;699;164;25;9
11010;11010010;Marzahn-Hellersdorf;;;;;;;7564;6877;545;127;15;10
11011;11011011;Lichtenberg;;;;;;;7545;6820;564;131;30;11
11012;11012012;Reinickendorf;;;;;;;9168;8260;700;174;34;12
51000;12051000;Brandenburg an der Havel, Stadt;;;;;;;2673;2286;310;64;13;132
52000;12052000;Cottbus, Stadt;;;;;;;4464;3831;501;116;16;18
53000;12053000;Frankfurt (Oder), Stadt;;;;;;;2418;2060;269;79;10;321
54000;12054000;Potsdam, Stadt;;;;;;;8122;7130;741;212;39;35
60005;12060005;Ahrensfelde;;;;;;;799;707;74;18;0;222
60012;12060012;Althüttendorf;;;;;;;26;24;2;0;0;409
60020;12060020;Bernau bei Berlin, Stadt;;;;;;;1650;1484;137;26;3;95
60024;12060024;Biesenthal, Stadt;;;;;;;255;231;19;5;0;405
60034;12060034;Breydin;;;;;;;25;23;1;1;0;257
60036;12060036;Britz;;;;;;;80;72;6;2;0;255
60045;12060045;Chorin;;;;;;;82;74;8;0;0;44
60052;12060052;Eberswalde, Stadt;;;;;;;1477;1257;171;45;4;39
60068;12060068;Friedrichswalde;;;;;;;42;42;0;0;0;106
60092;12060092;Hohenfinow;;;;;;;19;19;0;0;0;66
60100;12060100;Joachimsthal, Stadt;;;;;;;154;144;8;2;0;412
60128;12060128;Liepe;;;;;;;25;24;1;0;0;265
60149;12060149;Lunow-Stolzenhagen;;;;;;;34;31;3;0;0;363
60154;12060154;Marienwerder;;;;;;;84;78;6;0;0;378
