AGS5;AGS;AGS-Bezeichnung;WZ3;WZ1-Code;WZ2-Code;WZ3-CodeNeu;WZ3-Code;WZ3-Name;insgesamt;SvB_0_bis_9;SvB_10_bis_49;SvB_50_bis_249;SvB_250_und_mehr;ID
11001;11001001;Mitte;;;;;;;22195;19510;2000;548;137;1
11002;11002002;Friedrichshain-Kreuzberg;;;;;;;15580;14306;1010;209;55;2
11003;11003003;Pankow;;;;;;;18632;17506;901;189;36;3
11004;11004004;Charlottenburg-Wilmersdorf;;;;;;;26071;23853;1759;396;63;4
11005;11005005;Spandau;;;;;;;6658;6092;439;106;21;5
11006;11006006;Steglitz-Zehlendorf;;;;;;;13495;12611;687;160;37;6
11007;11007007;Tempelhof-Schöneberg;;;;;;;16307;14966;1038;249;54;7
11008;11008008;Neukölln;;;;;;;9285;8565;560;140;20;8
11009;11009009;Treptow-Köpenick;;;;;;;9992;9206;617;145;24;9
11010;11010010;Marzahn-Hellersdorf;;;;;;;7295;6696;479;105;15;10
11011;11011011;Lichtenberg;;;;;;;7359;6706;481;138;34;11
11012;11012012;Reinickendorf;;;;;;;8814;7963;624;189;38;12
51000;12051000;Brandenburg an der Havel, Stadt;;;;;;;2660;2287;299;61;13;132
52000;12052000;Cottbus, Stadt;;;;;;;4512;3903;468;123;18;18
53000;12053000;Frankfurt (Oder), Stadt;;;;;;;2564;2222;249;80;13;321
54000;12054000;Potsdam, Stadt;;;;;;;7764;6862;670;197;35;35
60005;12060005;Ahrensfelde;;;;;;;812;727;68;17;0;222
60012;12060012;Althüttendorf;;;;;;;35;33;2;0;0;409
60020;12060020;Bernau bei Berlin, Stadt;;;;;;;1615;1451;139;21;4;95
60024;12060024;Biesenthal, Stadt;;;;;;;251;230;17;4;0;405
60034;12060034;Breydin;;;;;;;25;22;2;1;0;257
60036;12060036;Britz;;;;;;;77;70;5;2;0;255
60045;12060045;Chorin;;;;;;;92;87;5;0;0;44
60052;12060052;Eberswalde, Stadt;;;;;;;1533;1324;162;42;5;39
60068;12060068;Friedrichswalde;;;;;;;33;33;0;0;0;106
60092;12060092;Hohenfinow;;;;;;;16;16;0;0;0;66
60100;12060100;Joachimsthal, Stadt;;;;;;;172;163;7;2;0;412
60128;12060128;Liepe;;;;;;;18;17;1;0;0;265
60149;12060149;Lunow-Stolzenhagen;;;;;;;32;29;3;0;0;363
60154;12060154;Marienwerder;;;;;;;89;86;3;0;0;378
60161;12060161;Melchow;;;;;;;36;34;1;1;0;235
60172;12060172;Niederfinow;;;;;;;31;29;2;0;0;110
60176;12060176;Oderberg, Stadt;;;;;;;84;81;2;1;0;402
60181;12060181;Panketal;;;;;;;855;828;26;1;0;186
60185;12060185;Parsteinsee;;;;;;;20;19;1;0;0;269
60192;12060192;Rüdnitz;;;;;;;66;65;1;0;0;153
60198;12060198;Schorfheide;;;;;;;474;423;44;7;0;417
60250;12060250;Sydower Fließ;;;;;;;32;29;3;0;0;118
60269;12060269;Wandlitz;;;;;;;1148;1088;53;7;0;396
60280;12060280;Werneuchen, Stadt;;;;;;;360;311;44;5;0;180
60296;12060296;Ziethen;;;;;;;23;21;1;1;0;271
61005;12061005;Alt Zauche-Wußwerk;;;;;;;18;17;1;0;0;345
61017;12061017;Bersteland;;;;;;;49;43;4;2;0;115
61020;12061020;Bestensee;;;;;;;254;235;15;3;1;408
61061;12061061;Byhleguhre-Byhlen;;;;;;;20;17;3;0;0;311
61097;12061097;Drahnsdorf;;;;;;;19;19;0;0;0;227
61112;12061112;Eichwalde;;;;;;;311;302;9;0;0;397
61164;12061164;Golßen, Stadt;;;;;;;118;104;11;2;1;200
61192;12061192;Groß Köris;;;;;;;111;107;4;0;0;399
61216;12061216;Halbe;;;;;;;111;97;10;3;1;50
61217;12061217;Heidesee;;;;;;;347;321;24;2;0;198
61219;12061219;Heideblick;;;;;;;121;113;8;0;0;183
61224;12061224;Jamlitz;;;;;;;16;15;1;0;0;43
61244;12061244;Kasel-Golzig;;;;;;;28;24;1;3;0;189
61260;12061260;Königs Wusterhausen, Stadt;;;;;;;1475;1330;118;24;3;407
61265;12061265;Krausnick-Groß Wasserburg;;;;;;;28;23;5;0;0;121
61308;12061308;Lieberose, Stadt;;;;;;;61;57;4;0;0;348
61316;12061316;Lübben (Spreewald), Stadt;;;;;;;742;663;64;13;2;261
61320;12061320;Luckau, Stadt;;;;;;;510;438;60;12;0;197
61328;12061328;Märkisch Buchholz, Stadt;;;;;;;32;32;0;0;0;119
61329;12061329;Märkische Heide;;;;;;;173;157;16;0;0;246
61332;12061332;Mittenwalde, Stadt;;;;;;;422;373;35;12;2;253
61344;12061344;Münchehofe;;;;;;;17;15;2;0;0;135
61352;12061352;Neu Zauche;;;;;;;45;40;5;0;0;312
61405;12061405;Rietzneuendorf-Staakow;;;;;;;12;12;0;0;0;181
61428;12061428;Schlepzig;;;;;;;35;31;4;0;0;123
61433;12061433;Schönefeld;;;;;;;963;843;79;33;8;92
61435;12061435;Schönwald;;;;;;;47;42;5;0;0;90
61444;12061444;Schulzendorf;;;;;;;321;312;8;1;0;138
61448;12061448;Schwerin;;;;;;;38;37;1;0;0;234
61450;12061450;Schwielochsee;;;;;;;104;99;4;1;0;278
61470;12061470;Spreewaldheide;;;;;;;7;7;0;0;0;354
61471;12061471;Steinreich;;;;;;;7;7;0;0;0;155
61476;12061476;Straupitz;;;;;;;37;34;2;1;0;40
61492;12061492;Teupitz, Stadt;;;;;;;93;89;3;0;1;400
61510;12061510;Unterspreewald;;;;;;;54;50;3;1;0;109
61540;12061540;Wildau;;;;;;;550;459;75;14;2;80
61572;12061572;Zeuthen;;;;;;;498;474;21;3;0;184
62024;12062024;Bad Liebenwerda, Stadt;;;;;;;508;461;40;7;0;239
62088;12062088;Crinitz;;;;;;;76;71;5;0;0;187
62092;12062092;Doberlug-Kirchhain, Stadt;;;;;;;362;330;29;3;0;211
62124;12062124;Elsterwerda, Stadt;;;;;;;482;406;63;12;1;103
62128;12062128;Falkenberg/Elster, Stadt;;;;;;;245;213;26;6;0;91
62134;12062134;Fichtwald;;;;;;;29;27;2;0;0;373
62140;12062140;Finsterwalde, Stadt;;;;;;;757;672;67;16;2;388
62177;12062177;Gorden-Staupitz;;;;;;;25;24;1;0;0;143
62196;12062196;Gröden;;;;;;;48;45;3;0;0;233
62208;12062208;Großthiemig;;;;;;;30;26;3;1;0;232
62219;12062219;Heideland;;;;;;;14;13;1;0;0;210
62224;12062224;Herzberg (Elster), Stadt;;;;;;;512;450;46;15;1;178
62232;12062232;Hirschfeld;;;;;;;53;49;2;2;0;272
62237;12062237;Hohenbucko;;;;;;;32;30;2;0;0;214
62240;12062240;Hohenleipisch;;;;;;;64;62;2;0;0;238
62282;12062282;Kremitzaue;;;;;;;16;15;1;0;0;258
62289;12062289;Lebusa;;;;;;;33;31;2;0;0;17
62293;12062293;Lichterfeld-Schacksdorf;;;;;;;44;40;4;0;0;429
62333;12062333;Massen-Niederlausitz;;;;;;;160;137;18;5;0;372
62336;12062336;Merzdorf;;;;;;;16;15;0;1;0;168
62341;12062341;Mühlberg/Elbe, Stadt;;;;;;;149;141;7;1;0;154
62372;12062372;Plessa;;;;;;;83;76;7;0;0;140
62410;12062410;Röderland;;;;;;;154;135;17;2;0;23
62417;12062417;Rückersdorf;;;;;;;48;42;6;0;0;209
62425;12062425;Sallgast;;;;;;;48;45;3;0;0;113
62440;12062440;Schilda;;;;;;;8;8;0;0;0;256
