AGS5;AGS;AGS-Bezeichnung;WZ3;WZ1-Code;WZ2-Code;WZ3-CodeNeu;WZ3-Code;WZ3-Name;insgesamt;SvB_0_bis_9;SvB_10_bis_49;SvB_50_bis_249;SvB_250_und_mehr
12069;12069665;Wiesenburg/Mark;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;1;1;0;0;0
12069;12069696;Ziesar,Stadt;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;1;1;0;0;0
12070;12070296;Perleberg,Stadt;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;1;0;1;0;0
12070;12070424;Wittenberge,Stadt;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;1;1;0;0;0
12071;12071244;Kolkwitz;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;1;1;0;0;0
12071;12071408;Welzow,Stadt;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;1;1;0;0;0
12072;12072002;Am Mellensee;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;1;1;0;0;0
12072;12072017;Blankenfelde-Mahlow;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;1;0;1;0;0
12072;12072053;Dahme/Mark,Stadt;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;1;1;0;0;0
12072;12072426;Trebbin,Stadt;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;1;1;0;0;0
12072;12072477;Zossen,Stadt;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;1;1;0;0;0
12073;12073093;Carmzow-Wallmow;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;1;1;0;0;0
12073;12073189;Gartz(Oder),Stadt;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;1;1;0;0;0
12073;12073429;Nordwestuckermark;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;1;0;1;0;0
12073;12073532;Schwedt/Oder,Stadt;52.1 Lagerei;H;52;WZ3-52-1;52.1;Lagerei;1;1;0;0;0
