AGS5;AGS;AGS-Bezeichnung;WZ3;WZ1-Code;WZ2-Code;WZ3-CodeNeu;WZ3-Code;WZ3-Name;insgesamt;SvB_0_bis_9;SvB_10_bis_49;SvB_50_bis_249;SvB_250_und_mehr;ID
11001;11001001;Mitte;;;;;;;23447;20444;2245;597;161;1
11002;11002002;Friedrichshain-Kreuzberg;;;;;;;16900;15528;1087;234;51;2
11003;11003003;Pankow;;;;;;;19708;18479;991;201;37;3
11004;11004004;Charlottenburg-Wilmersdorf;;;;;;;27194;24864;1851;414;65;4
11005;11005005;Spandau;;;;;;;6942;6321;482;112;27;5
11006;11006006;Steglitz-Zehlendorf;;;;;;;13829;12931;698;162;38;6
11007;11007007;Tempelhof-Schöneberg;;;;;;;16864;15418;1116;275;55;7
11008;11008008;Neukölln;;;;;;;9848;9054;628;143;23;8
11009;11009009;Treptow-Köpenick;;;;;;;10350;9512;646;166;26;9
11010;11010010;Marzahn-Hellersdorf;;;;;;;7458;6832;492;119;15;10
11011;11011011;Lichtenberg;;;;;;;7508;6804;531;141;32;11
11012;11012012;Reinickendorf;;;;;;;9096;8172;692;188;44;12
51000;12051000;Brandenburg an der Havel, Stadt;;;;;;;2704;2317;311;63;13;132
52000;12052000;Cottbus, Stadt;;;;;;;4491;3870;485;116;20;18
53000;12053000;Frankfurt (Oder), Stadt;;;;;;;2518;2164;263;77;14;321
54000;12054000;Potsdam, Stadt;;;;;;;8075;7123;701;214;37;35
60005;12060005;Ahrensfelde;;;;;;;819;733;70;15;1;222
60012;12060012;Althüttendorf;;;;;;;29;27;1;1;0;409
60020;12060020;Bernau bei Berlin, Stadt;;;;;;;1640;1482;128;26;4;95
60024;12060024;Biesenthal, Stadt;;;;;;;242;219;17;6;0;405
60034;12060034;Breydin;;;;;;;25;23;1;1;0;257
60036;12060036;Britz;;;;;;;81;74;5;2;0;255
60045;12060045;Chorin;;;;;;;89;82;7;0;0;44
60052;12060052;Eberswalde, Stadt;;;;;;;1517;1299;165;47;6;39
60068;12060068;Friedrichswalde;;;;;;;39;39;0;0;0;106
60092;12060092;Hohenfinow;;;;;;;15;15;0;0;0;66
60100;12060100;Joachimsthal, Stadt;;;;;;;158;149;7;2;0;412
60128;12060128;Liepe;;;;;;;23;22;1;0;0;265
60149;12060149;Lunow-Stolzenhagen;;;;;;;37;34;3;0;0;363
60154;12060154;Marienwerder;;;;;;;79;76;3;0;0;378
60161;12060161;Melchow;;;;;;;41;39;1;1;0;235
60172;12060172;Niederfinow;;;;;;;28;28;0;0;0;110
60176;12060176;Oderberg, Stadt;;;;;;;89;84;4;1;0;402
60181;12060181;Panketal;;;;;;;875;843;31;1;0;186
60185;12060185;Parsteinsee;;;;;;;20;19;1;0;0;269
60192;12060192;Rüdnitz;;;;;;;72;68;4;0;0;153
60198;12060198;Schorfheide;;;;;;;489;434;47;8;0;417
60250;12060250;Sydower Fließ;;;;;;;25;24;1;0;0;118
60269;12060269;Wandlitz;;;;;;;1168;1110;51;7;0;396
60280;12060280;Werneuchen, Stadt;;;;;;;389;331;48;10;0;180
60296;12060296;Ziethen;;;;;;;16;15;1;0;0;271
61005;12061005;Alt Zauche-Wußwerk;;;;;;;16;15;1;0;0;345
61017;12061017;Bersteland;;;;;;;46;40;4;2;0;115
61020;12061020;Bestensee;;;;;;;284;262;19;2;1;408
61061;12061061;Byhleguhre-Byhlen;;;;;;;20;16;4;0;0;311
