REG;ID;AGS;AGS-Bezeichnung
2;71;12065036;Birkenwerder
3;410;12065084;Fürstenberg/Havel, Stadt
2;38;12065096;Glienicke/Nordbahn
3;139;12065100;Gransee, Stadt
3;62;12065117;Großwoltersdorf
2;202;12065136;Hennigsdorf, Stadt
2;418;12065144;Hohen Neuendorf, Stadt
3;191;12065165;Kremmen, Stadt
2;146;12065180;Leegebruch
3;420;12065193;Liebenwalde, Stadt
3;273;12065198;Löwenberger Land
2;381;12065225;Mühlenbecker Land
2;176;12065251;Oberkrämer
2;419;12065256;Oranienburg, Stadt
3;29;12065276;Schönermark
3;98;12065301;Sonnenberg
3;423;12065310;Stechlin
2;188;12065332;Velten, Stadt
3;199;12065356;Zehdenick, Stadt
3;286;12066008;Altdöbern
3;245;12066041;Bronkow
3;260;12066052;Calau, Stadt
3;190;12066064;Frauendorf
3;93;12066104;Großkmehlen
3;382;12066112;Großräschen, Stadt
3;356;12066116;Grünewald
3;268;12066120;Guteborn
3;416;12066124;Hermsdorf
3;355;12066132;Hohenbocka
3;85;12066168;Kroppen
3;406;12066176;Lauchhammer, Stadt
3;231;12066188;Lindenau
3;223;12066196;Lübbenau/Spreewald, Stadt
3;266;12066202;Luckaitztal
3;362;12066226;Neu-Seeland
3;276;12066228;Neupetershain
3;69;12066240;Ortrand, Stadt
3;415;12066272;Ruhland, Stadt
3;243;12066285;Schipkau
3;244;12066292;Schwarzbach
3;264;12066296;Schwarzheide, Stadt
3;150;12066304;Senftenberg, Stadt
3;254;12066316;Tettau
3;338;12066320;Vetschau/Spreewald, Stadt
3;60;12067024;Bad Saarow
3;344;12067036;Beeskow, Stadt
3;322;12067040;Berkenbrück
3;288;12067072;Briesen (Mark)
3;126;12067076;Brieskow-Finkenheerd
3;34;12067112;Diensdorf-Radlow
3;353;12067120;Eisenhüttenstadt, Stadt
2;391;12067124;Erkner, Stadt
3;350;12067137;Friedland, Stadt
3;249;12067144;Fürstenwalde/Spree, Stadt
2;108;12067173;Gosen-Neu Zittau
3;274;12067180;Groß Lindow
2;228;12067201;Grünheide (Mark)
3;401;12067205;Grunow-Dammendorf
3;127;12067237;Jacobsdorf
3;333;12067288;Langewahl
3;280;12067292;Lawitz
3;318;12067324;Mixdorf
3;334;12067336;Müllrose, Stadt
3;380;12067338;Neißemünde
3;384;12067357;Neuzelle
3;349;12067397;Ragow-Merz
3;267;12067408;Rauen
3;376;12067413;Reichenwalde
3;331;12067426;Rietz-Neuendorf
3;395;12067438;Schlaubetal
2;379;12067440;Schöneiche bei Berlin
3;61;12067458;Siehdichum
3;53;12067469;Spreenhagen
3;291;12067473;Steinhöfel
3;248;12067481;Storkow (Mark), Stadt
